"Eureka5300","0","499.99","evacuumstore.com","Eureka Zuum ECV5300 Central Vacuum",<a href=https://evacuumstore.com/p-2512-eureka-zuum-ecv5300-central-vacuum.aspx target=_blank>Eureka Zuum ECV5300 Central Vacuum</a>
"NUTONE-ct170","19.42","29.95","www.centralvacuumstores.com","NuTone CT170 Aluminum Retractable Wand",<a href=http://www.centralvacuumstores.com/central-vacuum/tools-and-attachments/wands/nutone-ct170-aluminum-retractable-wand target=_blank>NuTone CT170 Aluminum Retractable Wand</a>
"CV-35-Ft-ValueFlex-Dual-Voltage-Hose-Corded","0","159.99","evacuumstore.com","Central Vacuum 35 Ft ValueFlex Dual Voltage Hose - Corded",<a href=http://evacuumstore.com/p-28527-central-vacuum-35-ft-valueflex-dual-voltage-hose-corded.aspx target=_blank>Central Vacuum 35 Ft ValueFlex Dual Voltage Hose - Corded</a>
"NUTONE-ct175","19.42","44.99","evacuumstore.com","NuTone Adjustable-Ratcheting Wand w/ Metal Finish - CT175",<a href=https://evacuumstore.com/p-27383-nutone-adjustable-ratcheting-wand-w-metal-finish-ct175.aspx target=_blank>NuTone Adjustable-Ratcheting Wand w/ Metal Finish - CT175</a>
"POWERUNIT-NUTONE-pp650","450","568.99","evacuumstore.com","Nutone PurePower PP650 Central Vacuum Unit",<a href=http://evacuumstore.com/p-22770-nutone-purepower-pp650-central-vacuum-unit.aspx target=_blank>Nutone PurePower PP650 Central Vacuum Unit</a>
"POWERUNIT-vx1000C-Cyclonic","580","634.00","evacuumstore.com","Nutone VX1000C Cyclonic Central Vacuum Unit",<a href=https://evacuumstore.com/p-14663-nutone-vx1000c-cyclonic-central-vacuum-unit.aspx target=_blank>Nutone VX1000C Cyclonic Central Vacuum Unit</a>
"CV-30-Ft-ValueFlex-Low-Voltage-Hose","0","99.99","evacuumstore.com","Central Vacuum 30 Ft ValueFlex Low Voltage Hose",<a href=http://evacuumstore.com/p-28525-central-vacuum-30-ft-valueflex-low-voltage-hose.aspx target=_blank>Central Vacuum 30 Ft ValueFlex Low Voltage Hose</a>
"CK145-Garagekit-Orange-Black","67.77","91.95","evacuumstore.com","NuTone Ultra Deluxe Garage Kit (NuTone CK145)",<a href=https://evacuumstore.com/p-25323-nutone-ultra-deluxe-garage-kit-nutone-ck145.aspx target=_blank>NuTone Ultra Deluxe Garage Kit (NuTone CK145)</a>
"SANITAIRE-sc5745","171.04","244.00","evacuumstore.com","Sanitaire SC5745A Bagless Commercial Upright Vacuum",<a href=https://evacuumstore.com/p-14243-sanitaire-by-electrolux-sc5745a-bagless-commercial-upright-vacuum.aspx target=_blank>Sanitaire SC5745A Bagless Commercial Upright Vacuum</a>
"vx3918-bag-3pack-HEPA","34.32","49.99","evacuumstore.com","Nutone VX3918 3 Pack Central Vacuum HEPA Bags 8 Gallon",<a href=https://evacuumstore.com/p-23057-nutone-vx3918-3-pack-central-vacuum-hepa-bags-8-gallon.aspx target=_blank>Nutone VX3918 3 Pack Central Vacuum HEPA Bags 8 Gallon</a>
"POWERUNIT-Nutone-PP500","248","307.00","www.thinkvacuums.com","NuTone PP500 6-Gallon System",<a href=http://www.thinkvacuums.com/nutone-pp500-6-gallon-system.html target=_blank>NuTone PP500 6-Gallon System</a>
"SANITAIRE-3683A-we-only-have-B","88.4","131.38","www.thinkvacuums.com","Sanitaire SC3683 Mighty Mite Canister Vacuum",<a href=http://www.thinkvacuums.com/sanitaire-sc3683b-mighty-mite-canister-vacuum.html target=_blank>Sanitaire SC3683 Mighty Mite Canister Vacuum</a>
"POWERUNIT-CANA-VAC-LS-750-5-GALLON SYSTEM","0","999.95","www.thinkvacuums.com","Cana-Vac LS-750 5-Gallon System",<a href=http://www.thinkvacuums.com/central-vacuums/cana-vac/power-units/cana-vac-ls-750-5-gallon-system.html target=_blank>Cana-Vac LS-750 5-Gallon System</a>
"POWERUNIT-CANA-VAC-LS-750-5-GALLON SYSTEM","0","899.95","evacuumstore.com","Cana-Vac LS-750 Central Vacuum",<a href=https://evacuumstore.com/p-22351-cana-vac-ls-750-central-vacuum.aspx target=_blank>Cana-Vac LS-750 Central Vacuum</a>
"SANITAIRE-SC3700","137.89","189.99","evacuumstore.com","Sanitaire by Electrolux SC3700A QuietClean Canister Vacuum",<a href=https://evacuumstore.com/p-16394-sanitaire-by-electrolux-sc3700a-quietclean-canister-vacuum.aspx target=_blank>Sanitaire by Electrolux SC3700A QuietClean Canister Vacuum</a>
"CK140-Garagekit","0","59.95","www.thinkvacuums.com","NuTone CK140 Deluxe Garage & Car Care Kit",<a href=http://www.thinkvacuums.com/nutone-ck140-deluxe-garage-and-car-care-kit.html target=_blank>NuTone CK140 Deluxe Garage & Car Care Kit</a>
"POWERUNIT-Nutone-PP500","248","311.99","evacuumstore.com","Nutone PurePower PP500 Central Vacuum Unit",<a href=http://evacuumstore.com/p-22766-nutone-purepower-pp500-central-vacuum-unit.aspx target=_blank>Nutone PurePower PP500 Central Vacuum Unit</a>
"POWERUNIT-Electrolux-3650","200","462.00","evacuumstore.com","Electrolux PU3650 QuietClean Central Vacuum Unit",<a href=https://evacuumstore.com/p-816-electrolux-pu3650-quietclean-central-vacuum-unit.aspx target=_blank>Electrolux PU3650 QuietClean Central Vacuum Unit</a>
"NUTONE-CT700","113.42","138.00","www.centralvacuumstores.com","NuTone CT700 Power Head",<a href=http://www.centralvacuumstores.com/central-vacuum/tools-and-attachments/power-heads/electric-powerheads/nutone-ct700-power-head target=_blank>NuTone CT700 Power Head</a>
"vx3918-bag-3pack-std","8.15","20.50","www.thinkvacuums.com","NuTone VX3918STD Bags (Standard) For VX550 and VX1000",<a href=http://www.thinkvacuums.com/nutone-vx3918std-bags-standard.html target=_blank>NuTone VX3918STD Bags (Standard) For VX550 and VX1000</a>
"POWERUNIT-NUTONE-pp650","450","559.00","www.thinkvacuums.com","NuTone PP650 6-Gallon System",<a href=http://www.thinkvacuums.com/nutone-pp650-6-gallon-system.html target=_blank>NuTone PP650 6-Gallon System</a>
"Eureka5300","0","0.00","www.thinkvacuums.com","Eureka Zuum ECV5300B 6.3-Gallon System",<a href=http://www.thinkvacuums.com/eureka-zuum-ecv5300b-6-3-gallon-system.html target=_blank>Eureka Zuum ECV5300B 6.3-Gallon System</a>
